ABBOTT, ANTHONY J.	1993	1997	Consul-General Perth Australia 	Q56794768
ABBOTT, ANTHONY J.	1997	2001	Governor of Montserrat 	Q56794768
ABBOTT, ARTHUR	1928	1939	Consul-General Sao Paulo 	
ABBOTT, PETER	2014		Counsellor and Deputy Head of Mission Embassy Portugal 	
ABBOTT, WILLIAM G.	1889	1895	Consul-General Rio de Janeiro 	
ABBOTT-WATT, THORHILDA (THORDA) M.V.	2002	2006	Ambassador to Armenia 	Q27899329
ABBOTT-WATT, THORHILDA (THORDA) M.V.	2008	2009	Ambasador to Outer Mongolia and 2011-2012	Q27899329
ABBOTT-WATT, THORHILDA (THORDA) M.V.	2016		Ambassador to Turkmenistan 	Q27899329
ABERCROMBY, Hon. SIR RALPH	1831	1836	Secretary of Legation Prussia 	
ABERCROMBY, Hon. SIR RALPH	1836	1839	Minister Resident Tuscany 	
ABERCROMBY, Hon. SIR RALPH	1839	1840	Minister to the German Confederation 	
ABERCROMBY, Hon. SIR RALPH	1840	1852	Minister to Sardinia-Piedmont 	
ABERCROMBY, Hon. SIR RALPH	1852	1858	Minister to the Netherlands 	
ABERDEEN, Rt. Hon. GEORGE, 4th EARL OF	1813	1814	Ambassador to Austria 	Q24631
ACLAND, SIR ANTONY A.	1970	1972	Head of Arabian Department Foreign and Commonwealth Office 	Q4059659
ACLAND, SIR ANTONY A.	1972	1975	Principal Private Secretary to the Foreign Secretary 	Q4059659
ACLAND, SIR ANTONY A.	1975	1977	Ambassador to Luxemburg 	Q4059659
ACLAND, SIR ANTONY A.	1977	1980	Ambassador to Spain 	Q4059659
ACLAND, SIR ANTONY A.	1980	1982	Deputy Under-Secretary for Foreign and Commonwealth Affairs (Defence and Intelligence) 	Q4059659
ACLAND, SIR ANTONY A.	1982	1986	Permanent Under-Secretary for Foreign and Commonwealth Affairs 	Q4059659
ACLAND, SIR ANTONY A.	1986	1991	Ambassador to the U.S.A. 	Q4059659
A’COURT, Rt. Hon. Sir WILLIAM, Bt.	1801	1807	Secretary of Legation The Two Sicilies 	
A’COURT, Rt. Hon. Sir WILLIAM, Bt.	1814	1822	Minister to the Two Sicilies 	
A’COURT, Rt. Hon. Sir WILLIAM, Bt.	1822	1824	Minister to Spain 	
A’COURT, Rt. Hon. Sir WILLIAM, Bt.	1828	1832	Ambassador to Portugal 	
A’COURT, Rt. Hon. Sir WILLIAM, Bt.	1828	1832	Ambassador to Russia 	
ACTON, RICHARD, 2nd LORD	1906	1911	Secretary of Legation the Netherlands 	Q336154
ACTON, RICHARD, 2nd LORD	1911	1914	Charge d’Affaires Hesse-Darmstadt and Baden 	Q336154
ACTON, RICHARD, 2nd LORD	1914	1919	Secretary of Legation Switzerland 	Q336154
ACTON, RICHARD, 2nd LORD	1919	1920	Minister to Finland 	Q336154
ADAIR, ARTHUR R.	1960	1964	Deputy High Commissioner Dacca Pakistan 	
ADAIR, ARTHUR R.	1964	1968	Deputy High Commissioner Cyprus 	
ADAIR, ARTHUR R.	1968	1972	High Commissioner in Brunei 	
ADAIR, Rt. Hon. SIR ROBERT	1809	1810	Ambassador to Turkey 	
ADAM, C.F. FREDERICK	1888	1892	Secretary of Legation Brazil 	
ADAM, C.F. FREDERICK	1892	1897	Secretary of Legation Belgium 	
ADAM, C.F. FREDERICK	1897	1898	Secretary of Embassy U.S.A. 	
ADAM, C.F. FREDERICK	1898	1905	Secretary of Embassy (Counsellor) Spain 	
ADAM, FREDERICK E.F.	1929	1934	Counsellor Embassy Portugal 	
ADAM, FREDERICK E.F.	1934	1939	Minister to Panama and Costa Rica 	
ADAMS, ALEC C.S.	1953	1955	Consul-General Houston 	
ADAMS, ALEC C.S.	1956	1962	Counsellor Embassy Thailand 	
ADAMS, ALEC C.S.	1962	1963	Deputy Commissioner South-East Asia 	
ADAMS, ALEC C.S.	1963	1967	Political Adviser Far East Forces 	
ADAMS, ALEXANDER A.	1933	1935	Commercial Counsellor Spain 	
ADAMS, ALEXANDER A.	1935	1941	Commercial Counsellor Romania 	
ADAMS, ALEXANDER A.			Commercial Counsellor Turkey 	
ADAMS, C. CHRISTIAN W.	1982	1985	Senior Trade Commissioner Hong Kong 	
ADAMS, C. CHRISTIAN W.	1986	1988	Head of South-East Asia Department Foreign and Commonwealth Office 	
ADAMS, C. CHRISTIAN W.	1992	1996	Ambassador to Thailand 	
ADAMS, SIR FRANCIS O.	1868	1872	Secretary of Legation Japan 	
ADAMS, SIR FRANCIS O.	1872	1874	Secretary of Embassy Germany 	
ADAMS, SIR FRANCIS O.	1874	1875	Secretary of Embassy France 	
ADAMS, SIR FRANCIS O.	1875	1881	Minister France 	
ADAMS, SIR FRANCIS O.	1881	1888	Minister to Switzerland 	
ADAMS, SIR GEOFFREY D.	1998	2001	Counsellor and Deputy Head of Mission Egypt 	Q1502925
ADAMS, SIR GEOFFREY D.	2001	2003	Consul-General Jerusalem 	Q1502925
ADAMS, SIR GEOFFREY D.	2003	2005	Principal Private Secretary to the Foreign Secretary 	Q1502925
ADAMS, SIR GEOFFREY D.	2006	2009	Ambassador to Iran 	Q1502925
ADAMS, SIR GEOFFREY D.	2009	2012	Director-General Political Foreign and Commonwealth Office 	Q1502925
ADAMS, SIR GEOFFREY D.	2013	2017	Ambassador to the Netherlands 	Q1502925
ADAMS, SIR PHILIP G.D.	1959	1963	Head of Security Department Foreign Office 	Q4057354
ADAMS, SIR PHILIP G.D.	1963	1966	Consul-General Chicago 	Q4057354
ADAMS, SIR PHILIP G.D.	1966	1970	Ambassador to Jordan 	Q4057354
ADAMS, SIR PHILIP G.D.			Assistant Under-Secretary for Foreign and Commonwealth Affairs (Middle East and North Africa) 	Q4057354
ADAMS, SIR PHILIP G.D.	1971	1972	Deputy Secretary (Foreign Affairs) Cabinet Office 	Q4057354
ADAMS, SIR PHILIP G.D.	1973	1975	Ambassador to Egypt 	Q4057354
ADAMS, SIR W. JAMES	1971	1972	Head of European Integration (2) Department Foreign and Commonwealth Office 	
ADAMS, SIR W. JAMES	1973	1977	Counsellor U.K. Delegation to the European Economic Community 	
ADAMS, SIR W. JAMES	1977	1980	Economic Counsellor Italy 	
ADAMS, SIR W. JAMES	1980	1982	Assistant Under-Secretary for Foreign and Commonwealth Affairs (Public Departments) 	
ADAMS, SIR W. JAMES	1982	1984	Assistant Under-Secretary for Foreign and Commonwealth Affairs (Transport and Energy) 	
ADAMS, SIR W. JAMES	1984	1987	Ambassador to Tunisia 	
ADAMS, SIR W. JAMES	1987	1992	Ambassador to Egypt 	
ADAMS, WILLIAM P.	1835	1842	Secretary of Legation Colombia 	
ADAMS, WILLIAM P.	1842	1852	Charge d’Affaires Peru 	
ADAMSON, JOANNE	2009	2011	Deputy Permanent Representative to the Disarmament Conference 	Q56794746
ADAMSON, JOANNE	2011	2013	Permanent Representative to the Diarmament Conference 	Q56794746
ADAMSON, JOANNE	2014	2016	Ambassador to Mali 	Q56794746
ADDINGTON, Rt. Hon. HENRY U.	1814	1818	Secretary of Legation Switzerland 	
ADDINGTON, Rt. Hon. HENRY U.	1821	1822	Secretary of Legation Denmark 	
ADDINGTON, Rt. Hon. HENRY U.	1823	1825	Secretary of Legation U.S.A. 	
ADDINGTON, Rt. Hon. HENRY U.	1828	1829	Minister to the German Confederation 	
ADDINGTON, Rt. Hon. HENRY U.	1829	1833	Minister to Spain 	
ADDINGTON, Rt. Hon. HENRY U.	1842	1854	Permanent Under-Secretary for Foreign Affairs 	
ADDIS, SIR JOHN M.	1954	1957	Counsellor Legation China 	Q1700961
ADDIS, SIR JOHN M.	1957	1960	Head of Southern Department Foreign Office 	Q1700961
ADDIS, SIR JOHN M.	1960	1962	Ambassador to Laos 	Q1700961
ADDIS, SIR JOHN M.	1963	1970	Ambassador to the Philippines 	Q1700961
ADDIS, SIR JOHN M.	1970	1972	Senior Civilian Instructor Royal College of Defence Studies 	Q1700961
ADDIS, SIR JOHN M.	1972	1974	Ambassador to China 	Q1700961
ADDISON, SIR JOSEPH	1918	1920	Commercial Counsellor France 	
ADDISON, SIR JOSEPH	1920	1927	Counsellor Embassy Germany 	
ADDISON, SIR JOSEPH	1928	1930	Minister to Latvia Estonia and Lithuania 	
ADDISON, SIR JOSEPH	1930	1936	Minister to Czechoslovakia 	
ADDISON, SIR JOSEPH			Ambassador to Chile (did not proceed)	
ADDISON, Brigadier LEONARD J.L.	1949	1952	Deputy High Commissioner Calcutta India 	
AGAR ELLIS, Hon. GEORGE A.W.	1866	1869	Secretary of Legation Greece 	
AGAR-ROBARTES, Hon. FRANCIS G.	1926	1927	Counsellor Embassy Spain 	
AHMAD, ASIF A.	2002	2004	Head of Commonwealth Co-ordination Department Foreign and Commonwealth Office 	Q4806893
AHMAD, ASIF A.	2004	2008	Director Asia U.K. Trade and Investment 	Q4806893
AHMAD, ASIF A.	2008	2010	Head of South-East Asia and Pacific Department Foreign and Commonwealth Office 	Q4806893
AHMAD, ASIF A.	2010	2012	Ambassador to Thailand 	Q4806893
AHMAD, ASIF A.	2013	2017	Ambassador to the Philippines 	Q4806893
AHMAD, ASIF A.	2017		High Commissioner to Jamaica 	Q4806893
AIERS, DAVID P.	1965	1968	Counsellor and Head of Chancery Far East Command 	Q19757777
AIERS, DAVID P.	1968	1971	Head of South-West Pacific Department Foreign and Commonwealth Office 	Q19757777
AIERS, DAVID P.	1971	1976	Deputy High Commissioner Australia 	Q19757777
AIERS, DAVID P.	1976	1979	High Commissioner to Sri Lanka 	Q19757777
AIERS, DAVID P.	1979	1982	High Commissioner to Malta 	Q19757777
AINSLIE, SIR ROBERT, BT.	1775	1794	Ambassador to Turkey 	Q9311079
AIREY, KATE	2018		High Commissioner to Namibia 	Q56794674
ALBAN, ARTHUR D.	1919	1924	Consul-General Alexandria 	
ALBAN, Major REGINALD G.E.W.	1939	1940	Counsellor Legation Afghanistan 	
ALCOCK, SIR RUTHERFORD	1858	1865	Minister to Japan 	Q939063
ALCOCK, SIR RUTHERFORD	1865	1871	Minister to China 	Q939063
ALDERTON, CLIVE	2004	2006	Consul-General Lille 	
ALDERTON, CLIVE	2012	2015	Ambassador to Morocco 	
ALDINGTON, SIR GEOFFREY W.	1947	1950	Head of Information Services Department Foreign Office 	
ALDINGTON, SIR GEOFFREY W.	1950	1953	Political Adviser Hong Kong 	
ALDINGTON, SIR GEOFFREY W.	1954	1956	Consul-General Zagreb 	
ALDINGTON, SIR GEOFFREY W.	1956	1961	Consul-General Philadelphia 	
ALDINGTON, SIR GEOFFREY W.	1961	1966	Ambassador to Luxemburg 	
ALESSANDRI, MADELEINE K.	2004	2007	Counsellor (Political) Embassy Japan 	
ALEXANDER, SIR MICHAEL O’D. B.	1975	1977	Counsellor and Head of Chancery U.K. Delegation to the United Nations Organizations Geneva 	
ALEXANDER, SIR MICHAEL O’D. B.	1978	1979	Head of Personnel Operations Department Foreign and Commonwealth Office 	
ALEXANDER, SIR MICHAEL O’D. B.	1979	1981	Private Secretary (Foreign Affairs) to the Prime Minister 	
ALEXANDER, SIR MICHAEL O’D. B.	1982	1986	Ambassador to Austria and Head of U.K. Delegation to Negotiations on Mutual and Balanced Force And Armaments Reductions in Europe 1985-1986	
ALEXANDER, SIR MICHAEL O’D. B.	1986	1992	Permanent Representative to N.A.T.O. 	
ALEXANDER, NICHOLAS	2011	2015	Counsellor and Deputy Head of Mission Neherlands 	
ALEXANDER, THOMAS J.	1982	1983	Counsellor and Head of Chancery Embassy Sudan 	
ALISON, CHARLES	1857	1860	Secretary of Embassy Turkey 	
ALISON, CHARLES	1860	1872	Minister to Persia 	
ALLAN, Hon. SIR ALEXANDER C.S.	1986	1989	Principal Private Secretary to the Chancellor of the Exchequer 	Q56808160
ALLAN, Hon. SIR ALEXANDER C.S.	1989	1992	Assistant Under-Secretary Treasury 	Q56808160
ALLAN, Hon. SIR ALEXANDER C.S.	1992	1997	Principal Private Secretary to the Prime Minister 	Q56808160
ALLAN, Hon. SIR ALEXANDER C.S.	1997	1999	High Commissioner to Australia 	Q56808160
ALLAN, Hon. SIR ALEXANDER C.S.	2004	2007	Permanent Secretary Department for Constitutional Affairs 	Q56808160
ALLAN, Hon. SIR ALEXANDER C.S.	2007	2011	Chairman of Joint Intelligence Committee 	Q56808160
ALLAN, CHRISTOPHER	2009	2010	Head of South Asia Group Foreign and Commonwealth Office 	Q56808159
ALLAN, CHRISTOPHER	2015		Ambassador to Uzbekistan 	Q56808159
ALLAN, JAMES N.	1978	1981	Head of Overseas Information Department Foreign and Commonwealth Office 	
ALLAN, JAMES N.	1981	1985	High Commissioner to Mauritius 	
ALLAN, JAMES N.	1986	1989	Ambassador to Mozambique 	
ALLAN, JAMES N.	1989	1992	Senior Civilian Instructor Royal College of Defence Studies 	
ALLAN, KEITH R.	2003	2006	Deputy High Commissioner Trinidad and Tobago 	
ALLAN, KEITH R.	2010	2013	Ambassador to Turkmenistan 	
ALLAN, KEITH R.	2013	2017	Consul-General St. Petersburg 	
ALLAN, KEITH R.	2017		High Commissioner to Mauritius 	
ALLCHIN, SIR GEOFFREY C.	1943	1947	Head of Consular Department Foreign Office 	
ALLCHIN, SIR GEOFFREY C.	1947	1949	Inspector-General 	
ALLCHIN, SIR GEOFFREY C.	1949	1955	Minister/Ambassador to Luxemburg 	
ALLEN, DONALD G.	1974	1978	Counsellor and Head of Chancery U.K. Delegation to the O.E.C.D. 	
ALLEN, DONALD G.	1978	1980	Home Inspector 	
ALLEN, JONATHAN G.	2012	2015	Ambassador to Bulgaria 	
ALLEN, JONATHAN G.	2015	2017	Director National Security Foreign and Commonwealth Office 	
ALLEN, JONATHAN G.	2017		Ambassador and Deputy Permanent Representative to the U.N.O. New York 	
ALLEN, MARK E.	1956	1957	Head of Defence Department Commonwealth Relations Department 	
ALLEN, MARK E.	1957	1960	Head of Ghana Department Commonwealth Relations Office 	
ALLEN, MARK E.	1960	1961	Deputy High Commissioner Madras India 	
ALLEN, MARK E.	1961	1963	Counsellor High Commission India 	
ALLEN, MARK E.	1964	1966	Inspector 	
ALLEN, MARK E.	1966	1968	Assistant Under-Secretary for Foreign and Commonwealth Affairs and Deputy Chief of Administration 	
ALLEN, MARK E.	1968	1971	Minister (Economic and Social) U.K. Delegation to the United Nations Organization New York 	
ALLEN, MARK E.	1971	1974	Ambassador to Zaire and Burundi and to Congo 1973-1974	
ALLEN, MARK E.	1974	1977	Permanent U.K. Representative to the Disarmament Conference 	
ALLEN, SIR RICHARD H.S.	1946	1947	Head of South-East Asia Department Foreign Office 	Q56808163
ALLEN, SIR RICHARD H.S.	1948	1950	Counsellor Embassy Poland 	Q56808163
ALLEN, SIR RICHARD H.S.	1950	1954	Minister Argentina 	Q56808163
ALLEN, SIR RICHARD H.S.	1954	1956	Minister to Guatemala 	Q56808163
ALLEN, SIR RICHARD H.S.	1956	1962	Ambassador to Burma 	Q56808163
ALLEN, SIR ROGER	1949	1950	Head of United Nations (Political) Department Foreign Office 	
ALLEN, SIR ROGER	1950	1953	Head of African Department Foreign Office 	
ALLEN, SIR ROGER	1953	1954	Assistant Under-Secretary for Foreign Affairs (Middle East) 	
ALLEN, SIR ROGER	1954	1956	Deputy High Commissioner/Minister Federal Republic of Germany 	
ALLEN, SIR ROGER	1957	1961	Ambassador to Greece 	
ALLEN, SIR ROGER	1961	1965	Ambassador to Iraq 	
ALLEN, SIR ROGER	1965	1967	Deputy Under-Secretary for Foreign Affairs (Middle East and Africa) 	
ALLEN, SIR ROGER	1967	1969	Ambassador to Turkey 	
ALLEN, SIR W. DENIS	1946	1949	Counsellor Embassy U.S.A. 	
